Year,Home_Team,Away_Team,elo_H,elo_A
2012,SF,NYG,1642.661,1608.295
2012,SEA,NE,1512.307,1682.25
2012,BAL,DAL,1634.565,1467.68
2012,PHI,DET,1544.209,1475.164
2012,NYJ,IND,1474.96,1404.183
2012,HOU,GB,1634.063,1593.688
2012,ARI,BUF,1505.863,1439.515
2012,ATL,OAK,1640.766,1425.877
2012,MIA,LAR,1498.845,1413.445
2012,LAC,DEN,1549.621,1485.929
2012,SF,SEA,1600.109,1521.72
2012,HOU,BAL,1594.035,1638.706
2012,BUF,TEN,1459.581,1449.316
2012,CAR,DAL,1429.013,1463.538
2012,CIN,PIT,1485.229,1549.336
2012,IND,CLE,1384.689,1388.967
2012,NYG,WAS,1650.847,1450.12
2012,MIN,ARI,1480.62,1485.797
2012,LAR,GB,1405.76,1633.716
2012,NE,NYJ,1672.837,1494.453
2012,TB,NO,1405.487,1551.132
2012,OAK,JAX,1421.784,1370.417
2012,CHI,DET,1577.782,1495.355
2012,MIN,TB,1497.413,1390.003
2012,NE,LAR,1677.772,1393.2
2012,PHI,ATL,1524.017,1644.859
2012,TEN,IND,1458.024,1397.642
2012,NYJ,MIA,1489.519,1506.53
2012,KC,OAK,1383.671,1430.698
2012,GB,JAX,1646.276,1361.503
2012,DET,SEA,1484.423,1509.826
2012,DEN,NO,1521.674,1566.617
2012,CHI,CAR,1588.714,1409.254
2012,DAL,NYG,1483.297,1655.96
2012,PIT,WAS,1570.193,1445.007
2012,CLE,LAC,1376.015,1513.876
2012,ARI,SF,1469.005,1612.003
2012,LAC,KC,1505.225,1358.245
2012,TEN,CHI,1430.249,1591.168
2012,OAK,TB,1456.124,1437.432
2012,SEA,MIN,1495.811,1449.983
2012,WAS,CAR,1432.21,1406.8
2012,HOU,BUF,1626.072,1450.873
2012,CIN,DEN,1464.372,1550.105
2012,ATL,DAL,1666.495,1471.345
2012,GB,ARI,1650.956,1445.744
2012,NYG,PIT,1667.912,1582.989
2012,IND,MIA,1425.416,1542.467
2012,JAX,DET,1356.822,1498.439
2012,CLE,BAL,1384.665,1606.669
2012,NO,PHI,1538.186,1502.382
2012,JAX,IND,1334.952,1441.727
2012,PHI,DAL,1483.354,1464.984
2012,CAR,DEN,1435.546,1570.575
2012,CHI,HOU,1615.435,1635.349
2012,CIN,NYG,1443.903,1643.618
2012,MIA,TEN,1526.156,1405.982
2012,MIN,DET,1434.199,1520.309
